mean
1000.0
998.944
997.874
996.858
995.846
994.728
993.664
992.57
991.486
990.35
989.346
988.3
987.28
986.35
985.396
984.4
983.472
982.402
981.336
980.294
979.204
978.238
977.23
976.16
975.202
974.22
973.242
972.342
971.354
970.308
969.298
968.308
967.336
966.122
965.172
964.052
962.996
962.08
961.086
960.244
959.264
958.322
957.37
956.43
955.456
954.47
953.252
952.298
951.27
950.098
949.16
948.166
947.156
946.358
945.47
944.632
943.754
942.778
941.962
941.07
940.058
939.146
938.12
937.174
936.28
935.448
934.316
933.478
932.592
931.516
930.416
929.4
928.47
927.678
926.716
925.704
924.718
923.746
922.72
921.732
920.75
919.782
918.788
918.018
917.148
916.104
915.31
914.364
913.436
912.596
911.64
910.626
909.662
908.744
907.72
906.638
905.752
904.926
903.882
902.866
901.804
900.792
899.882
899.06
898.126
897.068
896.034
895.194
894.168
893.17
892.308
891.444
890.494
889.496
888.612
887.7
887.058
886.114
885.296
884.482
883.784
882.832
882.056
881.132
880.196
879.418
878.476
877.72
876.742
875.932
875.216
874.486
873.842
872.762
871.97
871.01
870.072
869.29
868.37
867.562
866.744
865.872
865.058
864.306
863.56
862.642
861.832
861.038
860.356
859.32
858.56
857.768
856.82
855.81
854.752
853.746
853.0
852.284
851.396
850.492
849.708
849.024
848.164
847.338
846.414
845.624
844.89
843.948
843.134
842.202
841.31
840.318
839.604
838.778
838.028
837.192
836.504
835.71
834.932
834.212
833.278
832.526
831.658
831.08
830.378
829.578
828.608
827.844
827.08
826.248
825.562
824.852
824.034
823.24
822.464
821.758
821.03
820.416
819.93
818.924
818.246
817.324
816.59
815.628
814.94
814.05
813.112
812.146
811.278
810.724
809.834
809.026
808.224
807.384
806.64
805.784
805.018
804.284
803.47
802.448
801.76
800.792
799.976
799.316
798.53
797.712
796.822
796.08
795.34
794.696
793.938
793.196
792.57
791.88
791.042
790.25
789.664
788.868
788.078
787.322
786.64
785.82
784.976
784.226
783.4
782.87
782.03
781.334
780.478
779.66
778.688
778.004
777.354
776.44
775.62
774.968
774.226
773.314
772.576
771.848
771.102
770.274
769.48
768.83
768.27
767.506
766.892
766.074
765.438
764.596
763.826
763.178
762.462
761.87
761.248
760.458
759.754
759.05
758.146
757.548
756.918
756.286
755.562
754.942
754.284
753.442
752.722
751.782
751.35
750.718
750.046
749.358
748.678
747.958
747.272
746.62
746.012
745.37
744.738
743.988
743.174
742.554
742.024
741.426
740.626
739.954
739.492
738.874
738.314
737.692
736.892
736.074
735.284
734.688
734.11
733.446
732.688
732.184
731.632
730.896
730.268
729.54
728.776
728.398
727.718
727.024
726.224
725.43
724.694
723.926
723.29
722.47
721.91
721.442
720.916
720.292
719.606
718.934
718.346
717.7
716.892
716.204
715.684
715.104
714.454
713.67
712.872
712.34
711.632
710.998
710.276
709.552
708.894
708.08
707.544
706.958
706.146
705.444
704.672
704.1
703.446
702.694
702.072
701.688
700.958
700.256
699.64
699.094
698.476
698.024
697.436
696.768
696.076
695.512
694.922
694.444
693.958
693.324
692.626
691.736
691.198
690.572
690.036
689.462
688.952
688.46
687.774
687.23
686.748
686.164
685.582
684.762
684.112
683.358
682.702
682.046
681.346
680.772
680.124
679.606
679.128
678.566
677.946
677.64
677.072
676.368
675.818
675.298
674.682
674.082
673.46
672.908
672.196
671.646
670.912
670.276
669.628
668.976
668.288
667.836
667.218
666.65
665.954
665.442
